Dish Name,Country,Type,Meal,Priority,Cook Status,Availability,Cooking Time,Difficulty,URL,Ingredients (list),Ingredient Count,Intermediates (list),Intermediate Count
Mustard Greens Egg Stir-Fry,Myanmar,Side dish,,Low,Planned,❌ Unavailable,,,,Mustard green; Eggs; Garlic; Onion; Green Chilies; Soy Sauce; Salt; Black pepper; Canora Cooking Oil,9,(none),0
Chinese-Style Mustard Greens with Oyster Sauce (Ultra Simple),Myanmar,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Vietnamese Iced Coffee,,Breakfast,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Nestlé Carnation,,Nestlé Carnation – Sweetened Condensed Milk,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Kabocha Squash & Basil Stir-Fry (ฟักทองผัดไข่),Thai,,,Medium,Planned,❌ Unavailable,,,,Pumpkin; Canora Cooking Oil; Garlic; Eggs; Basil; Jasmin rice; Oyster sauce; Soy Sauce; ナンプラ; Brown sugar; Black pepper; Golden Mountain sauce,12,(none),0
Tokoyo Nabe (ほうれん草と豚バラの常夜鍋),Japanese,,,Medium,Planned,❌ Unavailable,,,,Pork shabu shabu; Spinach; 昆布[乾燥] (11gm); Sake; Salt; 大根; 小ネギ; ポン酢,8,(none),0
鶏ゴムタン,Japanese,Lunch,,High,✅ Cooked,❌ Unavailable,,,,Chicken (with bones); Onion; 長ネギ; Garlic; Ginger; 大根; 昆布[乾燥] (11gm); Salt; Black paper powder; ごま油; えのき茸; Coriender,12,(none),0
Fudgy Brownie (1),Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Unsalted butter; Brown sugar; Eggs; Chocolates; Cocoa powder; Flour; Dark chocolate; Vanilla essence; Salt,9,(none),0
Canned fish curry,Myanmar,Lunch,,,✅ Cooked,⚠️ No ingredients linked,,,,(none),0,(none),0
Canned fish fry,Myanmar,Lunch,,,✅ Cooked,⚠️ No ingredients linked,,,,(none),0,(none),0
🍋 Chili Lime Peanuts with Thai Herbs,Thai,Breakfast,,Low,Planned,❌ Unavailable,,,,Peanuts; cashew nuts; Garlic; Lime leaves; Chicken bouillon powder; Chili powder; Canora Cooking Oil; Lime juice powder; Lemon,9,(none),0
Soy Sauce + Miso Mushroom Soup,Japanese,,,,Planned,⚠️ No ingredients linked,,,,(none),0,(none),0
Torigara Soup Powder Version (Mushroom Soup),Japanese,,,,✅ Cooked,⚠️ No ingredients linked,,,,(none),0,(none),0
🌶️ 口水鸡 — Sichuan Mouth-Watering Chicken,Chinese,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Chicken & Chicken Liver Curry (North-Indian Style),Myanmar,Lunch,,,✅ Cooked,❌ Unavailable,,,,Chicken (with bones); Chicken lever; Onion; Canora Cooking Oil; Bay leaves; Cumin Seeds; Black pepper; Turmeric Powder; Chilli Powder; Garam Masala; Salt,11,(none),0
🧀 Cheesecake,,Dessert,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Japanese Simmered Beans (市販豆の簡単煮物),Japanese,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Burmese-Style Gongura Leaf Stir-Fry,Myanmar,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Devil’s egg,,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
